component,n,pct
cancer,8665,48.42946568298681
T2D,2612,14.598703331097697
death,1529,8.545718756986362
COPD,1496,8.361278783813995
stroke,1225,6.846635367762128
HF,990,5.533199195171026
MI,759,4.242119382964454
dementia,616,3.4428794992175273
