beta,se,LCI,UCI,P,N,outcome,model
0.1269255886052798,0.004385309374415014,0.11833038223142638,0.13552079497913322,1.6697536828552138e-182,44642,HFRS (linear),Base
0.12143209813973697,0.004089765851751621,0.1134161570703038,0.12944803920917014,7.30730472213928e-192,44642,log(HFRS+0.1),Base
0.14123120108200463,0.006042617938570026,0.12938766992240738,0.15307473224160187,7.096820183878205e-120,34248,HFRS (linear),+Clinical
0.12703293015128578,0.00556292723915491,0.11612959276254216,0.1379362675400294,1.4633131368187424e-114,34248,log(HFRS+0.1),+Clinical
0.13066104155560734,0.006253025755628026,0.11840511107457641,0.14291697203663828,2.420721524148766e-96,33527,HFRS (linear),+Biomarkers
0.11538741359187492,0.005735148157286278,0.10414652320359381,0.126628303980156,1.6917461415708646e-89,33527,log(HFRS+0.1),+Biomarkers
