RR,LCI,UCI,P,N,outcome,model
1.0548167431952717,1.0435935219421129,1.0661606634491898,1.39390491429414e-22,44642,Self-reported condition count,Base
1.2560399528735808,1.2288874329050847,1.283792413341832,6.712119193762239e-93,44642,Prevalent disease count (8 conditions),Base
1.027975569229701,1.0128325711449586,1.0433449723467534,0.0002684000891706909,34248,Self-reported condition count,+Clinical
1.2164468500309304,1.1787917569675679,1.2553047900138012,2.6464160902519734e-34,34248,Prevalent disease count (8 conditions),+Clinical
1.0238352324797442,1.008233763775097,1.039678119230967,0.002641319771117533,33527,Self-reported condition count,+Biomarkers
1.1596667392241204,1.1225174629586947,1.1980454562533518,4.773051765833419e-19,33527,Prevalent disease count (8 conditions),+Biomarkers
