beta,se,LCI,UCI,P,N,outcome,model
0.5230353372259282,0.005001540261940906,0.513232318312524,0.5328383561393324,0.0,44642,Bio-age composite (z),Base
0.2898248028596134,0.00417416666330478,0.281643436199536,0.2980061695196907,0.0,44642,Bio-age − age (delta),Base
0.43097342721074344,0.0053537802288902555,0.42048001796211854,0.44146683645936835,0.0,41441,Bio-age composite (z),+Clinical
0.21531597247616463,0.004581390913497407,0.2063364462857097,0.22429549866661955,0.0,41441,Bio-age − age (delta),+Clinical
0.43097342721074344,0.0053537802288902555,0.42048001796211854,0.44146683645936835,0.0,41441,Bio-age composite (z),+Biomarkers
0.21531597247616463,0.004581390913497407,0.2063364462857097,0.22429549866661955,0.0,41441,Bio-age − age (delta),+Biomarkers
