component,n,pct
cancer,6406,40.977419561184675
T2D,2753,17.610183586003966
COPD,1584,10.132412204951065
death,1556,9.9533039083989
HF,1053,6.7357512953367875
MI,801,5.1237766263673
stroke,781,4.995842128830039
dementia,699,4.471310688927269
