RR,LCI,UCI,P,N,outcome,model
1.054816743195272,1.0435935219421135,1.0661606634491898,1.3939049142899379e-22,44642,Self-reported condition count,Base
1.3946408196629867,1.3583755522374967,1.4318742800298736,3.500271167604901e-135,44642,Prevalent disease count (8 conditions),Base
1.0279755692297006,1.0128325711449584,1.043344972346753,0.0002684000891707112,34248,Self-reported condition count,+Clinical
1.347595874614662,1.2957667966320738,1.4014980519632063,2.8941459885852716e-50,34248,Prevalent disease count (8 conditions),+Clinical
1.023835232479744,1.0082337637750969,1.0396781192309665,0.0026413197711174343,33527,Self-reported condition count,+Biomarkers
1.243026585783385,1.192931186837423,1.2952256676770688,3.555376735977305e-25,33527,Prevalent disease count (8 conditions),+Biomarkers
