beta,se,LCI,UCI,P,N,outcome,model
0.1269255886052797,0.004385309374415012,0.11833038223142626,0.1355207949791331,1.6697536828554034e-182,44642,HFRS (linear),Base
0.12143209813973715,0.004089765851751621,0.11341615707030397,0.12944803920917033,7.307304722129298e-192,44642,log(HFRS+0.1),Base
0.1412312010820045,0.006042617938570021,0.12938766992240724,0.15307473224160173,7.096820183879014e-120,34248,HFRS (linear),+Clinical
0.12703293015128567,0.005562927239154907,0.11612959276254205,0.13793626754002927,1.4633131368190758e-114,34248,log(HFRS+0.1),+Clinical
0.1306610415556074,0.0062530257556280295,0.11840511107457646,0.14291697203663833,2.4207215241489044e-96,33527,HFRS (linear),+Biomarkers
0.11538741359187525,0.005735148157286281,0.10414652320359415,0.12662830398015637,1.6917461415691296e-89,33527,log(HFRS+0.1),+Biomarkers
