endpoint,model,title,caveat,n_total,n_used,n_events,HR_per_SD,LCI_per_SD,UCI_per_SD,P_per_SD,HR_trend_perQ,P_trend,c_index,P_per_SD_q_BH,P_trend_q_BH
hip_fracture,+Biomarkers,Incident hip fracture,,44559,33467,426,1.1078663613623572,1.029081078225981,1.1926833566448545,0.006496903126481376,1.0785771455834559,0.028153314248128683,,0.007038311720354824,0.030499423768806072
falls,Base,Incident falls,,43617,43617,4335,1.2028587421623782,1.1706964853169477,1.2359045847863306,1.0761452248474782e-40,1.1334996918054174,8.61764478138634e-21,,1.748735990377152e-40,1.4003672769752803e-20
falls,+Clinical,Incident falls,,43617,33488,3336,1.2085033714342979,1.1646933513295787,1.2539613084429686,8.966505061684767e-24,1.1176592009078492,8.230900451698516e-11,0.6888381542049724,2.33129131603804e-23,1.5285957981725817e-10
falls,+Biomarkers,Incident falls,,43617,32783,3260,1.1611852176150355,1.1180215241769234,1.2060153408945509,1.0572407152654681e-14,1.0979414334870063,9.122586286120021e-08,,2.7488258596902168e-14,1.9765603619926713e-07
delirium,Base,Incident delirium,,44635,44635,899,1.2455564387759457,1.1855597722906845,1.3085893081364008,2.8370630643698528e-18,1.173867958051115,1.6760157543718135e-10,,3.688181983680809e-18,2.1788204806833576e-10
delirium,+Clinical,Incident delirium,,44635,34243,690,1.1739522530748632,1.1036719879491055,1.2487078656952375,3.5474454770419486e-07,1.1222623516323764,0.00015663842197917547,0.8009573786885256,5.124087911282815e-07,0.00018511813506629827
delirium,+Biomarkers,Incident delirium,,44635,33522,676,1.131313906629759,1.0621862983457748,1.204940373762239,0.0001253895102413504,1.1034115672238936,0.0015709965982425651,,0.0001630063633137555,0.001856632343377577
pressure_ulcer,Base,Incident pressure ulcer,,44620,44620,650,1.4181475503051106,1.3457300109292802,1.4944620823664416,5.3291713083955846e-39,1.2718924846379542,6.979616136977607e-18,,7.697691889904733e-39,1.0081667753412098e-17
pressure_ulcer,+Clinical,Incident pressure ulcer,,44620,34233,507,1.3080534592967257,1.2256325220449062,1.3960170129325606,6.11353089547108e-16,1.2030204674812426,3.2403786342874895e-08,0.7932626425899875,9.934487705140504e-16,4.68054691619304e-08
pressure_ulcer,+Biomarkers,Incident pressure ulcer,,44620,33513,502,1.2587940982233232,1.1774491582516606,1.3457588131233729,1.4530286945867696e-11,1.1827363388701861,8.15595545876401e-07,,3.148228838271334e-11,1.5146774423418875e-06
any_CVD_event,Base,Any incident CVD event,ICD-event substitute (no f.40001),37117,37117,14456,1.2432687130496212,1.221570302363981,1.265352546518847,8.649275637742848e-130,1.1691517413560892,1.3973838484177346e-92,,1.8740097215109505e-129,3.0276650049050917e-92
any_CVD_event,+Clinical,Any incident CVD event,ICD-event substitute (no f.40001),37117,28524,11208,1.1120437576754967,1.0859833301176294,1.138729559367261,1.6711644688986211e-18,1.067943815251825,2.5348306214080885e-11,0.7264562983480138,3.1035911565260107e-18,5.4921330130508584e-11
