time,group,cuminc
0.0,Q1,0.0
0.06030150753768844,Q1,0.0008617903694936313
0.12060301507537688,Q1,0.0019390283313586165
0.18090452261306533,Q1,0.0029085424970382023
0.24120603015075376,Q1,0.003985780458903521
0.3015075376884422,Q1,0.005386189809329922
0.36180904522613067,Q1,0.006571151567380751
0.4221105527638191,Q1,0.007756113325433689
0.4824120603015075,Q1,0.008294732306367014
0.542713567839196,Q1,0.010126036841538122
0.6030150753768844,Q1,0.010664655822471558
0.6633165829145728,Q1,0.012603684153830619
0.7236180904522613,Q1,0.014004093504255577
0.7839195979899497,Q1,0.015296779058493803
0.8442211055276382,Q1,0.016697188408920205
0.9045226130653266,Q1,0.017774426370784746
0.964824120603015,Q1,0.018743940536464332
1.0251256281407035,Q1,0.019498007109770787
1.085427135678392,Q1,0.021006140256383032
1.1457286432160803,Q1,0.022729720995368075
1.2060301507537687,Q1,0.023806958957234725
1.2663316582914572,Q1,0.025315092103846193
1.3266331658291457,Q1,0.026392330065710956
1.3869346733668342,Q1,0.027146396639018078
1.4472361809045227,Q1,0.02811591080469633
1.507537688442211,Q1,0.029624043951308465
1.5678391959798994,Q1,0.030593558116988384
1.6281407035175879,Q1,0.03177851987504032
1.6884422110552764,Q1,0.03317892922546528
1.7487437185929648,Q1,0.034363890983517886
1.809045226130653,Q1,0.03565657653775822
1.8693467336683416,Q1,0.03770332866530224
1.92964824120603,Q1,0.03867284283098138
1.9899497487437185,Q1,0.03996552838521994
2.050251256281407,Q1,0.04082731875471268
2.1105527638190953,Q1,0.041904556716579666
2.170854271356784,Q1,0.04373586125175033
2.2311557788944723,Q1,0.04481309921361676
2.2914572864321605,Q1,0.0455671657869231
2.351758793969849,Q1,0.04675212754497449
2.4120603015075375,Q1,0.048583432080146705
2.472361809045226,Q1,0.049768393838198643
2.5326633165829144,Q1,0.05073790800387745
2.5929648241206027,Q1,0.051061079392437536
2.6532663316582914,Q1,0.052353764946677095
2.7135678391959797,Q1,0.053107831519982995
2.7738693467336684,Q1,0.05407734568566214
2.8341708542713566,Q1,0.055693202628460226
2.8944723618090453,Q1,0.056985888182699784
2.9547738693467336,Q1,0.05784767855219297
3.015075376884422,Q1,0.05935581169880377
3.0753768844221105,Q1,0.060648497253044
3.135678391959799,Q1,0.061294840030163056
3.1959798994974875,Q1,0.06247980178821477
3.2562814070351758,Q1,0.0636647635462676
3.316582914572864,Q1,0.06441883011957372
3.3768844221105527,Q1,0.06581923946999857
3.437185929648241,Q1,0.06732737261661148
3.4974874371859297,Q1,0.06883550576322273
3.557788944723618,Q1,0.07002046752127589
3.618090452261306,Q1,0.07152860066788813
3.678391959798995,Q1,0.07228266724119403
3.738693467336683,Q1,0.07400624798017896
3.798994974874372,Q1,0.07519120973823179
3.85929648241206,Q1,0.07637617149628328
3.9195979899497484,Q1,0.07766885705052307
3.979899497487437,Q1,0.07863837121620165
4.040201005025126,Q1,0.0802542281590003
4.100502512562814,Q1,0.08197780889798545
4.160804020100502,Q1,0.08316277065603783
4.221105527638191,Q1,0.08424000861790326
4.281407035175879,Q1,0.08531724657977025
4.341708542713568,Q1,0.08660993213400792
4.402010050251256,Q1,0.08865668426155282
4.4623115577889445,Q1,0.08941075083485994
4.522613065326633,Q1,0.09102660777765859
4.582914572864321,Q1,0.09242701712808365
4.64321608040201,Q1,0.09382742647850961
4.703517587939698,Q1,0.09544328342130726
4.763819095477387,Q1,0.09738231175266565
4.824120603015075,Q1,0.09856727351071892
4.884422110552763,Q1,0.09996768286114366
4.944723618090452,Q1,0.10115264461919693
5.005025125628141,Q1,0.10276850156199602
5.065326633165829,Q1,0.10384573952386145
5.125628140703517,Q1,0.10492297748572732
5.185929648241205,Q1,0.10578476785522017
5.2462311557788945,Q1,0.10740062479801826
5.306532663316583,Q1,0.10837013896369718
5.366834170854271,Q1,0.10987827211030865
5.427135678391959,Q1,0.11117095766454865
5.487437185929648,Q1,0.11235591942260093
5.547738693467337,Q1,0.11343315738446702
5.608040201005025,Q1,0.11494129053107782
5.668341708542713,Q1,0.11591080469675719
5.7286432160804015,Q1,0.11698804265862273
5.788944723618091,Q1,0.11881934719379472
5.849246231155779,Q1,0.12065065172896772
5.909547738693467,Q1,0.12215878487557907
5.969849246231155,Q1,0.12323602283744495
6.030150753768844,Q1,0.12485187978024326
6.090452261306533,Q1,0.1257136701497361
6.150753768844221,Q1,0.12679090811160232
6.211055276381909,Q1,0.12819131746202694
6.271356783919598,Q1,0.12937627922007988
6.331658291457286,Q1,0.12991489820101265
6.391959798994975,Q1,0.1310998599590657
6.452261306532663,Q1,0.13282344069804997
6.5125628140703515,Q1,0.13400840245610335
6.57286432160804,Q1,0.135085640417968
6.633165829145728,Q1,0.13702466874932628
6.693467336683417,Q1,0.13820963050737922
6.7537688442211055,Q1,0.13950231606161878
6.814070351758794,Q1,0.14047183022729715
6.874371859296482,Q1,0.14133362059679033
6.93467336683417,Q1,0.14316492513196244
6.994974874371859,Q1,0.1445653344823875
7.055276381909548,Q1,0.14564257244425283
7.115577889447236,Q1,0.14715070559086552
7.175879396984924,Q1,0.14844339114510363
7.236180904522612,Q1,0.15005924808790294
7.296482412060302,Q1,0.15113648604976826
7.35678391959799,Q1,0.1519982764192619
7.417085427135678,Q1,0.15339868576968607
7.477386934673366,Q1,0.15512226650867256
7.537688442211055,Q1,0.15695357104384433
7.597989949748744,Q1,0.1585694279866422
7.658291457286432,Q1,0.1599698373370675
7.71859296482412,Q1,0.161370246687494
7.7788944723618085,Q1,0.16212431326079968
7.839195979899497,Q1,0.1626629322417329
7.899497487437186,Q1,0.16341699881503846
7.959798994974874,Q1,0.16503285575783722
8.020100502512562,Q1,0.1661100937197032
8.080402010050252,Q1,0.16772595066250118
8.140703517587939,Q1,0.16901863621673996
8.201005025125628,Q1,0.17084994075191273
8.261306532663315,Q1,0.17354303565657692
8.321608040201005,Q1,0.1739739308413235
8.381909547738694,Q1,0.1760206829688682
8.442211055276381,Q1,0.17742109231929315
8.50251256281407,Q1,0.17828288268878556
8.562814070351758,Q1,0.18065280620489155
8.623115577889447,Q1,0.1822686631476894
8.683417085427136,Q1,0.18313045351718238
8.743718592964823,Q1,0.18409996768286074
8.804020100502512,Q1,0.18550037703328726
8.8643216080402,Q1,0.18668533879133964
8.924623115577889,Q1,0.18808574814176482
8.984924623115578,Q1,0.18970160508456368
9.045226130653266,Q1,0.19110201443498842
9.105527638190955,Q1,0.19185608100829532
9.165829145728642,Q1,0.19444145211677266
9.226130653266331,Q1,0.19530324248626518
9.28643216080402,Q1,0.19691909942906427
9.346733668341708,Q1,0.19799633739093014
9.407035175879397,Q1,0.19918129914898197
9.467336683417084,Q1,0.20068943229559422
9.527638190954773,Q1,0.20155122266508763
9.587939698492463,Q1,0.20305935581169943
9.64824120603015,Q1,0.20435204136593732
9.708542713567839,Q1,0.20575245071636405
9.768844221105526,Q1,0.20693741247441555
9.829145728643216,Q1,0.20779920284390807
9.889447236180905,Q1,0.20909188839814752
9.949748743718592,Q1,0.21027685015619968
10.010050251256281,Q1,0.211354088118066
10.070351758793969,Q1,0.2124313260799312
10.130653266331658,Q1,0.21383173543035738
10.190954773869347,Q1,0.21480124959603564
10.251256281407034,Q1,0.21674027792739392
10.311557788944723,Q1,0.21760206829688766
10.37185929648241,Q1,0.21867930625875243
10.4321608040201,Q1,0.21986426801680536
10.492462311557789,Q1,0.2213724011634176
10.552763819095476,Q1,0.22277281051384312
10.613065326633166,Q1,0.22428094366045426
10.673366834170853,Q1,0.22546590541850675
10.733668341708542,Q1,0.2268663147689327
10.793969849246231,Q1,0.22826672411935767
10.854271356783919,Q1,0.2298825810621562
10.914572864321608,Q1,0.23149843800495595
10.974874371859295,Q1,0.23279112355919396
11.035175879396984,Q1,0.23419153290962014
11.095477386934673,Q1,0.23537649466767185
11.15577889447236,Q1,0.23656145642572513
11.21608040201005,Q1,0.2385004847570834
11.276381909547737,Q1,0.23957772271894862
11.336683417085426,Q1,0.2404395130884407
11.396984924623116,Q1,0.24119357966174748
11.457286432160803,Q1,0.24194764623505327
