time,cuminc,group
0.0054757015742642025,6.053763529156875e-05,Q1
0.008213552361396304,9.080613112322222e-05,Q1
0.010951403148528405,0.00012107367230862476,Q1
0.019164955509924708,0.00021187192859473125,Q1
0.02190280629705681,0.00027240364884584256,Q1
0.024640657084188913,0.0003329511260644624,Q1
0.02737850787132101,0.00036322506755126494,Q1
0.030116358658453114,0.00045405169713108595,Q1
0.03559206023271732,0.0005448763693168823,Q1
0.038329911019849415,0.000575157064003573,Q1
0.04380561259411362,0.0006357160835658293,Q1
0.049281314168377825,0.000696271155822159,Q1
0.05201916495550993,0.0007265489731999031,Q1
0.057494866529774126,0.0007568276144869213,Q1
0.06297056810403832,0.0008173831279095767,Q1
0.06570841889117043,0.0008476613182735182,Q1
0.06844626967830253,0.0008779398225686741,Q1
0.07118412046543464,0.0009082173521252068,Q1
0.07665982203969883,0.0009384954546011182,Q1
0.07939767282683094,0.0009990498587345575,Q1
0.08487337440109514,0.001029330256391403,Q1
0.08761122518822724,0.0011201671756492226,Q1
0.09034907597535935,0.001150447013545275,Q1
0.09308692676249145,0.0012412822971906712,Q1
0.09582477754962354,0.0013321194976656514,Q1
0.09856262833675565,0.0013623984263586575,Q1
0.10403832991101986,0.001392676522239733,Q1
0.10677618069815195,0.0014229542282858665,Q1
0.10951403148528405,0.001483506781773336,Q1
0.11225188227241616,0.0015440603708788414,Q1
0.11772758384668036,0.0015743380613078006,Q1
0.12046543463381246,0.001634891335304256,Q1
0.12320328542094455,0.0016954441512141427,Q1
0.12594113620807665,0.0017559952548860114,Q1
0.13141683778234087,0.001816554723283459,Q1
0.13415468856947296,0.0018771169226265982,Q1
0.13689253935660506,0.0019074023276320906,Q1
0.13963039014373715,0.0020588106103685,Q1
0.14236824093086928,0.002089091302394541,Q1
0.14784394250513347,0.0021193731822969353,Q1
0.15058179329226556,0.002149655089935698,Q1
0.15331964407939766,0.002210219360225252,Q1
0.15605749486652978,0.0023313392385638787,Q1
0.15879534565366188,0.0023616224941682695,Q1
0.16153319644079397,0.002391906705267788,Q1
0.16427104722792607,0.0025130321105618636,Q1
0.16700889801505817,0.002603892685710263,Q1
0.1697467488021903,0.0026341804577358907,Q1
0.17522245037645448,0.002694759547277714,Q1
0.17796030116358658,0.0027250488734669176,Q1
0.1806981519507187,0.002785629113874033,Q1
0.1861738535249829,0.0029370688736490846,Q1
0.188911704312115,0.003058223907526192,Q1
0.19164955509924708,0.0031188103227018926,Q1
0.1943874058863792,0.0031793936798651945,Q1
0.1971252566735113,0.0032702752771586185,Q1
0.1998631074606434,0.003421749476938629,Q1
0.2053388090349076,0.003482347718427592,Q1
0.2080766598220397,0.0036035328137072886,Q1
0.2135523613963039,0.0036641331607429883,Q1
0.216290212183436,0.003694433657685514,Q1
0.2190280629705681,0.00375503251872511,Q1
0.22176591375770022,0.0038762187449619123,Q1
0.2272416153319644,0.003967118073358256,Q1
0.2299794661190965,0.003997420865055279,Q1
0.2327173169062286,0.004118620167431808,Q1
0.23545516769336072,0.004148923082199385,Q1
0.23819301848049282,0.004179224938064885,Q1
0.24093086926762491,0.004209526566351651,Q1
0.243668720054757,0.004361018264005034,Q1
0.2464065708418891,0.00439131876541754,Q1
0.24914442162902123,0.0044519207317248455,Q1
0.2518822724161533,0.004542827693925777,Q1
0.25735797399041754,0.004633732567660198,Q1
0.2600958247775496,0.004694342152075537,Q1
0.26283367556468173,0.00475494960264955,Q1
0.2655715263518138,0.004785255338920824,Q1
0.2683093771389459,0.004815561575925553,Q1
0.27104722792607805,0.004845867032249762,Q1
0.27652292950034224,0.004906475327954296,Q1
0.2792607802874743,0.004936780635892868,Q1
0.28199863107460643,0.004997391323748657,Q1
0.28473648186173856,0.005088305780368563,Q1
0.2929500342231348,0.005148916285647287,Q1
0.29568788501026694,0.005179221355100405,Q1
0.29842573579739906,0.005209526428558098,Q1
0.30116358658453113,0.005239832040173753,Q1
0.30390143737166325,0.00536104733537679,Q1
0.3066392881587953,0.005391353859823256,Q1
0.30937713894592744,0.0054216595683036495,Q1
0.31211498973305957,0.005451964359232564,Q1
0.31485284052019163,0.005512570603050659,Q1
0.31759069130732376,0.00554287588466662,Q1
0.3203285420944558,0.0056034836131999555,Q1
0.32306639288158795,0.005754998085788499,Q1
0.3258042436687201,0.005815619848674514,Q1
0.33127994524298426,0.005845930874340377,Q1
0.33401779603011633,0.0059368662644945225,Q1
