time,cuminc,group
0.0054757015742642025,2.8202808229682574e-05,Q1
0.008213552361396304,5.640546010243774e-05,Q1
0.019164955509924708,8.46077149544433e-05,Q1
0.030116358658453114,0.00016921178660878056,Q1
0.04380561259411362,0.00022561694884326577,Q1
0.049281314168377825,0.000253820251792658,Q1
0.06844626967830253,0.00028202381150799205,Q1
0.07118412046543464,0.0003102267654485624,Q1
0.08487337440109514,0.0003384301818555313,Q1
0.08761122518822724,0.00039483599751266585,Q1
0.09308692676249145,0.0004512429325250755,Q1
0.09582477754962354,0.00047944702168756237,Q1
0.10403832991101986,0.0005076517349280607,Q1
0.10677618069815195,0.0005358563528495841,Q1
0.12046543463381246,0.0005640610579561445,Q1
0.12594113620807665,0.0005922667220549238,Q1
0.13141683778234087,0.0006204716773676733,Q1
0.13415468856947296,0.0006486763652019389,Q1
0.13689253935660506,0.0006768805963084379,Q1
0.13963039014373715,0.0007896895997626663,Q1
0.15331964407939766,0.0008178922707727798,Q1
0.15605749486652978,0.0008742963005734516,Q1
0.16153319644079397,0.000902499314250238,Q1
0.16700889801505817,0.0009307018770788877,Q1
0.1697467488021903,0.0009589040245430169,Q1
0.17248459958932238,0.0009871073073385306,Q1
0.17522245037645448,0.001015311134211383,Q1
0.1806981519507187,0.001043515856007815,Q1
0.1861738535249829,0.0011281287016315922,Q1
0.188911704312115,0.0011845379412822599,Q1
0.19164955509924708,0.001212745347709876,Q1
0.1943874058863792,0.001269158131579462,Q1
0.1971252566735113,0.0013255714161432008,Q1
0.1998631074606434,0.001353780097215762,Q1
0.2053388090349076,0.0013819891176002352,Q1
0.2080766598220397,0.0014101975649375431,Q1
0.2135523613963039,0.0014384054697210713,Q1
0.2190280629705681,0.001466614227989771,Q1
0.22176591375770022,0.0014948226522909502,Q1
0.2272416153319644,0.0015512397688932644,Q1
0.2299794661190965,0.0015794485470309594,Q1
0.2327173169062286,0.0016640752810674897,Q1
0.23545516769336072,0.0016922856635226413,Q1
0.24093086926762491,0.0017204954801125494,Q1
0.243668720054757,0.0018333303102565646,Q1
0.24914442162902123,0.0018615421081622507,Q1
0.2518822724161533,0.0019179653014113063,Q1
0.26283367556468173,0.0019743892910346617,Q1
0.27652292950034224,0.0020026032931846904,Q1
0.2792607802874743,0.0020308166762125213,Q1
0.28199863107460643,0.0020590296524620744,Q1
0.28473648186173856,0.0021436634844345104,Q1
0.2874743326488706,0.0021718755872849327,Q1
0.2929500342231348,0.0022000869733556083,Q1
0.30116358658453113,0.0022282981720894712,Q1
0.30390143737166325,0.002256510115277277,Q1
0.3066392881587953,0.0022847217752484106,Q1
0.30937713894592744,0.0023129331754097038,Q1
0.31211498973305957,0.0023411445700680655,Q1
0.31485284052019163,0.0023975655217937097,Q1
0.31759069130732376,0.0024257776042065915,Q1
0.3258042436687201,0.0024539892520089035,Q1
0.33401779603011633,0.0025104119898302635,Q1
0.33675564681724846,0.0025386228212819217,Q1
0.3394934976043806,0.0025668339536139007,Q1
0.34223134839151265,0.0025950446232887447,Q1
0.34496919917864477,0.002623254796022212,Q1
0.35044490075290896,0.002679674679745059,Q1
0.3586584531143053,0.0027360949615240493,Q1
0.36413415468856947,0.0027643060012357834,Q1
0.3668720054757016,0.002820727067110118,Q1
0.3723477070499658,0.002848937813829888,Q1
0.3750855578370979,0.002905358831442828,Q1
0.3805612594113621,0.0029617811077631284,Q1
0.38329911019849416,0.003018203221870075,Q1
0.3860369609856263,0.003074626235001987,Q1
0.3942505133470226,0.003131049739403813,Q1
0.3997262149212868,0.003159263832390291,Q1
0.4024640657084189,0.003187477672256245,Q1
0.4134154688569473,0.0032156911517269293,Q1
0.4161533196440794,0.0032439051932163787,Q1
0.4188911704312115,0.0032721196690402854,Q1
0.4216290212183436,0.0033003347327204002,Q1
0.42984257357973993,0.0033285492833783348,Q1
0.4353182751540041,0.0033849775267739135,Q1
0.4380561259411362,0.0034131929900419467,Q1
0.4407939767282683,0.0035260499540293866,Q1
0.44353182751540043,0.003554266064675682,Q1
0.46269678302532513,0.0036389107090485373,Q1
0.4654346338124572,0.0036953419350185257,Q1
0.4681724845995893,0.003751772838974432,Q1
0.47091033538672145,0.0037799891368943683,Q1
0.4736481861738535,0.0038646368310443213,Q1
0.47638603696098564,0.003892854019545089,Q1
0.4791238877481177,0.003977500513418053,Q1
